Song Title,Artist,Spotify or YouTube link,Your name (or tag)
Me Rehuso,Danny Ocean,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o?si=eb89ec891f564dd8,ALE !
This fifire,Franz Ferdinand,https://open.spotify.com/track/46gSk82duJtX3TTA182ruG?si=4723738c96ab4bc7,ALEEE
Siren,Kailee Morgue,https://open.spotify.com/track/4xb8JHIN56xixSl6vkSPjm?si=915a7edfee6848ee,wece
This Is Why I'm Hot,Kailee Morgue,https://open.spotify.com/track/0Wdti1sgfzx6f5XyBLmI0Z?si=c55b29e36de14584,wece
Medusa,Kailee Morgue,https://open.spotify.com/track/131sUIJTuOwXZkzovJ1AGs?si=6efcc76af29d44fb,wece
Desert Rose,Lolo Zouai,https://open.spotify.com/track/0HUdWSPyrr98kiAdR3Mvyp?si=c84f73fc424c40f9,wece
Caffeine,Lolo Zouai,https://open.spotify.com/track/0wEPue9rjGWgvRYNgvsUfw?si=5d894e8b6d8a4f9a,wece
FORTUNA,Lexie Liu,https://open.spotify.com/track/4CC1ERQo70R6JdaiFzDdyh?si=0bb1ec84416e4327,wece
Manta,Lexie Liu,https://open.spotify.com/track/2ckGH6FtxWeAv0SskcREd1?si=702a6bdc82cc45b9,wece
Speed Drive,Charli XCX,https://open.spotify.com/track/5VxmI3IdgAxWVvUnJoLuY2?si=6eeeeef3385c4263,wece
Boom Clap,Charli XCX,https://open.spotify.com/track/0Y1MWB026LYxGvhq4EcMiC?si=99c2d7a9a5c941a6,wece
Black Sheep - Brie Larson Local Version,Metric,https://open.spotify.com/track/60TThBDrPpek5k520l0W0L?si=169f8a6e49f142c2,wece
You Stupid Bitch,girl in red,https://open.spotify.com/track/65wEZxhPlAERKLcSbTD7qc?si=5cc2cd6f614d450f,wece
Rose-Colored Boy,Paramore,https://open.spotify.com/track/2RJfK2pOvGpnxC255YOy5k?si=e7d08a23e7214ce6,wece
"Seraphine, the Starry-Eyed Songstress",League of Legends,https://open.spotify.com/track/29kJz9cOUnTVOKwQWbQCsh?si=e6f4b1c8edfd4c91,wece
Skin,Sabrina Carpenter,https://open.spotify.com/track/03B2SfXuvDh1m9F4tqrX07?si=d619bf496938453d,wece
death bed (coffee for your head),beabadobee,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx?si=430b9d7c819e4880,wece
Panic Room,Au/Ra,https://open.spotify.com/track/7uUahoeqGNRMbpdeiLj1rS?si=53260ee19c874456,wece
A like Supreme,SAMURAI,https://open.spotify.com/track/4SxtjfUfvCe4NoeDAY0YhF?si=smlAHUk_TG2IPT6xaBXMpQ,Esteb1ne
Five nights at freddys,The living tombstone ,https://open.spotify.com/track/5ZbwPEUqw1hK6rp0ppD8lR?si=0SXdV4fPRxOoxIRXiVnqiw,Sim_1on
chicken nugget dreamland,Parry Gripp,https://open.spotify.com/track/28B9XbCYSlAUQhepP4tQw7?si=JStT4wWpQsGIbHLHfRcBiw,Sofi
3005,Childish Gambino,https://open.spotify.com/track/2ZltjIqztEpZtafc8w0I9t?si=GdypUIs1Qt-bDX7KNNRevQ,Duck
